YEAR,REGION,AREA,TYPE_EXPENSE,VALUE,UNIT,SOURCE
2554,ทั่วราชอาณาจักร,รวม,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,17403,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,15328,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,"อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)",5660,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,เครื่องดื่มที่มีแอลกอฮอล์,95,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,"ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ",85,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,"ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ",3553,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,เครื่องนุ่งห่มและรองเท้า,494,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,ค่าใช้จ่ายส่วนบุคคล,572,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,267,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,การเดินทางและการสื่อสาร,3836,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,การศึกษา,272,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,"การบันเทิง การอ่านและกิจกรรมทางศาสนา",293,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,การจัดงานพิธีในโอกาสพิเศษ,201,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,2075,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,22256,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,19340,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,"อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)",6117,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,เครื่องดื่มที่มีแอลกอฮอล์,107,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,"ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ",92,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,"ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ",5085,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,เครื่องนุ่งห่มและรองเท้า,659,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,ค่าใช้จ่ายส่วนบุคคล,794,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,390,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,การเดินทางและการสื่อสาร,5090,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,การศึกษา,468,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,"การบันเทิง การอ่านและกิจกรรมทางศาสนา",410,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,การจัดงานพิธีในโอกาสพิเศษ,130,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,2916,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,14650,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,13052,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,"อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)",5401,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,เครื่องดื่มที่มีแอลกอฮอล์,88,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,"ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ",82,บาท,สำนักงานสถิติแห่งชาติ
